1;Yamile Cardona Maya;SISCO;In-Line Fiber-Optic Viscometer for Internal Combustion Engine Lubricant Oils;YAMILE CARDONA MAYA - CESAR AUGUSTO ISAZA MERINO - PEDRO IGNACIO TORRES TRUJILLO - ;10.1364/FIO.2014.FTu2B.2;2014;0747668X;Estados Unidos Digest of Technical Papers - IEEE International Conference on Consumer Electronics;IEEE Publications
2;Yamile Cardona Maya;SISCO;All-fiber Tunable Multifunctional Device Based On Selectively Liquid-Crystal-Infiltrated Photonic Crystal Fiber;YAMILE CARDONA MAYA - PEDRO IGNACIO TORRES TRUJILLO - ;10.1364/FIO.2014.FW4D.4;2014;0747668X;Colombia Digest of Technical Papers - IEEE International Conference on Consumer Electronics;IEEE Publications - 
3;Yamile Cardona Maya;SISCO;LOW COST HEAT-AND-PULL RIG FOR MANUFACTURING ADIABATIC OPTICAL FIBER TAPER;YAMILE CARDONA MAYA - NELSON DARIO GOMEZ CARDONA - PEDRO IGNACIO TORRES TRUJILLO - ;NA;2014;1211129;Colombia Revista Facultad De Ingenier°a;Universidad Pedag¢gica y Tecnol¢gica de Colombia
4;Yamile Cardona Maya;SISCO;Refractive index desensitized optical fiber temperature sensor;YAMILE CARDONA MAYA - JUAN FERNANDO BOTERO CADAVID - ;10.17533/udea.redin.n85a08;2017;24222844;Colombia Revista Facultad De Ingenier°a Universidad De Antioquia; - 
5;Yamile Cardona Maya;SISCO;Label-free wavelength and phase detection based SMS fiber immunosensors optimized with cladding etching;YAMILE CARDONA MAYA - JUAN FERNANDO BOTERO CADAVID - ;10.1016/j.snb.2018.03.002;2018;9254005;Estados Unidos Sensors and Actuators - B: Chemical;Elsevier Bv
6;Yamile Cardona Maya;SISCO;Wavelength and Phase Detection Based SMS Fiber Sensors Optimized With Etching and Nanodeposition;YAMILE CARDONA MAYA - JUAN FERNANDO BOTERO CADAVID - ;10.1109/JLT.2017.2719923;2017;7338724;Estados Unidos Journal of Lightwave Technology;Optical Society of America (OSA) - 
7;Yamile Cardona Maya;SISCO;Nanomechanical characterization of a metal matrix composite reinforced with carbon nanotubes;MATEO DUARTE GARCIA - ANDRES DAVID BENITEZ VERGEL - KATIUSKA GOMEZ IGLESIAS - BENJAMIN ZULUAGA DIAZ;;;;;
8;Yamile Cardona Maya;SISCO;Interfacial Analysis in AZ31B Magnesium Alloy Reinforced with Multiwalled Carbon Nanotubes;CESAR AUGUSTO ISAZA MERINO - YAMILE CARDONA MAYA - ;10.1017/S1431927619011644;2019;14319276;Reino Unido Microscopy and Microanalysis;Cambridge University Press - 
9;Yamile Cardona Maya;SISCO;NA;NA;NA;NA;NA;NA;NA -  -  - 
10;Yamile Cardona Maya;SISCO;Optical Fiber Immunosensors Optimized with Cladding Etching and ITO Nanodeposition;YAMILE CARDONA MAYA - ;10.1109/IPCon.2018.8527306;2018;23296259;Colombia IEEE Xplore Digital Library;IEEE Publications -  - 
11;V°ctor Daniel  Gil Vera;SISCO;Sistema Experto para la Gesti¢n de Da§os en V°as Pavimentadas y en Afirmado;VICTOR DANIEL GIL VERA - ;10.21501/21454086.1710;2016;21454086;Colombia L†mpsakos;Fundaci¢n Universitaria Luis Amig¢ -  - 
